time_tick,acc_X_value,acc_Y_value,acc_Z_value
4.676150,0.088140,-3.367266,-9.176255
4.709288,0.201270,-3.326413,-9.686538
4.742648,-0.142759,-3.237824,-9.446510
4.776037,-0.095173,-2.902924,-9.840221
4.808983,0.199474,-3.235580,-9.519237
4.842818,0.352559,-3.496557,-9.123282
4.875072,0.456710,-3.508678,-9.031251
4.909319,0.244966,-3.403479,-8.663129
4.942703,0.327718,-3.391358,-9.020626
4.975767,0.443841,-3.128286,-9.344454
5.009320,0.661721,-3.568386,-9.208279
5.042745,0.708559,-3.616122,-9.346549
5.083081,0.874962,-3.628093,-9.497688
5.109330,0.594980,-3.386719,-9.211421
5.141982,0.378896,-3.269698,-8.659239
5.176011,0.593933,-3.573174,-9.125377
5.209326,0.517914,-3.515711,-9.169222
5.242728,0.659476,-3.623305,-9.447408
5.276028,0.559665,-3.295587,-9.469855
5.309204,0.550985,-3.640065,-9.149768
5.342701,0.445188,-3.453610,-9.060132
5.376042,0.323229,-3.465581,-8.831927
5.409473,0.397003,-3.453460,-9.244642
5.442557,0.453717,-3.460493,-9.413738
5.476219,0.536470,-3.635126,-9.353133
5.509329,0.298538,-3.369810,-9.188376
5.542672,0.210248,-3.640065,-8.792571
5.576237,0.245863,-3.432061,-8.959423
5.609033,0.399098,-3.302769,-9.421520
5.642660,0.356599,-3.350655,-9.249879
5.677253,0.413912,-3.479947,-9.050854
5.709126,0.515819,-3.362776,-9.176405
5.742724,0.574030,-3.448971,-9.049059
5.776230,0.414511,-3.223908,-9.287440
5.808967,0.495318,-3.439244,-9.049956
5.842715,0.663816,-3.491918,-9.174759
5.876124,0.764825,-3.463187,-9.451000
5.908991,0.625657,-3.472614,-9.399971
5.942635,0.546496,-3.226452,-9.350440
5.976066,0.470028,-3.396296,-8.916325
6.008855,0.648253,-3.465731,-9.065070
6.042635,0.684616,-3.618666,-9.122084
6.075995,0.756146,-3.621060,-9.326796
6.108891,0.537368,-3.346016,-9.176105
6.142672,0.382637,-3.444182,-8.800202
6.175964,0.588546,-3.678373,-9.080035
6.209379,0.518064,-3.529927,-9.398774
6.242702,0.366775,-3.324168,-9.527018
6.276143,0.110287,-3.106737,-9.202293
6.309474,0.094425,-3.295736,-8.860658
6.342704,0.270255,-3.482341,-8.791972
6.376044,0.448330,-3.687801,-9.162937
6.409433,0.385630,-3.529778,-9.526869
6.442210,0.184360,-3.462887,-9.244642
6.476027,0.172838,-3.388814,-9.055793
6.509300,0.279383,-3.494163,-8.978278
6.542714,0.422891,-3.649642,-9.010151
6.575968,0.261127,-3.508379,-9.274870
6.609568,0.307516,-3.584846,-9.374682
6.642424,0.151588,-3.467526,-9.314226
6.676045,0.224015,-3.465282,-9.382762
