time_tick,acc_X_value,acc_Y_value,acc_Z_value
4.873641,0.130189,-0.973278,-9.689530
4.907043,0.180769,-0.908033,-9.780813
4.940262,0.209350,-0.847129,-9.819271
4.973773,0.233443,-0.845034,-9.859375
5.041917,0.103703,-0.894117,-9.802212
5.079891,0.190346,-0.906537,-9.799967
5.106950,0.123007,-0.916563,-9.723350
5.140252,0.186455,-0.835307,-9.749837
5.173660,0.249455,-0.840245,-9.886311
5.206974,0.145603,-0.886934,-9.792634
5.240443,0.245863,-0.887233,-9.864463
5.274587,0.151888,-0.871969,-9.778119
5.307002,0.275343,-0.868378,-9.755673
5.340383,0.175830,-0.897708,-9.847104
5.373677,0.222220,-0.847278,-9.875537
5.407146,0.136025,-0.886335,-9.770338
5.440533,0.190645,-0.857604,-9.802212
5.473703,0.081855,-0.772307,-9.702400
5.507226,0.184809,-0.908033,-9.785152
5.541097,0.178225,-0.927038,-9.665737
5.573669,0.203963,-0.914318,-9.854437
5.607767,0.244816,-0.929881,-9.916389
5.640654,0.260379,-0.805229,-9.850846
5.674203,0.317991,-0.881996,-9.811639
5.707618,0.305421,-0.873167,-9.887508
5.740438,0.281628,-0.954273,-9.841418
5.773718,0.263222,-0.822737,-9.793083
5.807163,0.248407,-0.929283,-9.769290
5.842640,0.304224,-0.855359,-9.899928
5.873834,0.301830,-0.858951,-9.921776
5.906977,0.304523,-0.862243,-9.834534
5.940496,0.196032,-0.863141,-9.707188
5.973659,0.252448,-0.915366,-9.718412
6.006955,0.265317,-0.880499,-9.834534
6.040304,0.283124,-0.889328,-9.853090
6.074321,0.164009,-0.897858,-9.729635
6.119245,0.265766,-0.950532,-9.782608
6.140353,0.154581,-0.964150,-9.817625
6.174228,0.147698,-0.862542,-9.782758
6.206941,0.100710,-0.867779,-9.708834
6.240571,0.204412,-0.844884,-9.714222
6.274135,0.159669,-0.901000,-9.809095
6.308482,0.116273,-0.863290,-9.767943
6.340242,0.210398,-0.887233,-9.809245
6.373772,0.141562,-0.870623,-9.798620
6.408422,0.151888,-0.859399,-9.808048
6.441078,0.170743,-0.904592,-9.812387
6.474477,0.152337,-0.937513,-9.803858
6.506916,0.227308,-0.939309,-9.825556
6.540648,0.156527,-0.916114,-9.754625
6.574289,0.241673,-0.859848,-9.809843
6.606996,0.279234,-0.886036,-9.830344
6.641669,0.282676,-0.854461,-9.830644
6.674508,0.334003,-0.902946,-9.877931
6.707380,0.330262,-0.844286,-9.930306
6.741622,0.295844,-0.913121,-9.675314
6.773993,0.315148,-0.957116,-9.802062
6.807452,0.313502,-0.873616,-9.776323
6.841120,0.304224,-1.007845,-9.748041
6.875024,0.337594,-0.883642,-9.854437
6.907790,0.362735,-0.846381,-9.816877
6.940190,0.334901,-1.194749,-9.818074
6.973691,0.317842,-1.151802,-9.741157
7.008161,0.324426,-1.024456,-9.689231
7.040205,0.367972,-0.909679,-9.856532
7.074957,0.363333,-0.961157,-9.933448
7.106891,0.310210,-1.001411,-9.847703
7.140660,0.259780,-1.094040,-9.654065
7.174549,0.322929,-1.088802,-9.677858
7.220115,0.340138,-1.125165,-9.700305
7.240223,0.257536,-1.068151,-9.562633
7.273993,0.393262,-0.932425,-9.833786
7.306850,0.401642,-1.042413,-9.921776
7.341559,0.484694,-0.763778,-9.843363
7.374091,0.417803,-1.014130,-9.871646
7.408179,0.479306,-1.007546,-9.647481
7.441774,0.492176,-1.205673,-9.450102
7.474137,0.535572,-0.985698,-9.810442
7.508346,0.631793,-0.880649,-9.897085
7.542924,0.606054,-1.283637,-9.699557
7.574755,0.655286,-1.071294,-9.672471
7.608208,0.725768,-1.164372,-9.826154
7.644374,0.673094,-1.122023,-9.704944
7.673851,0.656633,-1.228120,-9.616056
7.707069,0.590341,-1.561674,-9.649875
7.741527,0.557270,-1.221086,-9.930007
7.774126,0.450575,-1.463508,-9.744449
7.808845,0.457758,-1.340651,-9.924620
7.840814,0.483945,-1.243084,-9.728587
7.875283,0.401642,-1.338107,-9.459230
7.910371,0.433516,-1.546709,-9.711678
7.941143,0.449527,-1.174996,-9.917736
7.975707,0.483945,-1.087306,-9.788893
8.007178,0.422292,-1.170956,-9.643590
8.040505,0.390568,-1.190260,-9.717514
8.077511,0.291804,-1.202830,-9.648379
8.107275,0.215336,-1.239493,-9.520584
8.141527,0.109539,-1.181880,-9.420472
8.175117,0.171042,-0.855060,-9.415684
8.212477,0.151289,-0.676536,-9.970410
8.240907,0.254393,-0.502950,-10.361278
8.274017,0.287913,-0.414511,-10.443731
8.308204,0.152486,-0.869725,-10.235578
8.340308,0.300483,-1.079225,-10.052115
8.374706,0.592885,-1.542669,-10.054809
8.407498,0.116721,-1.105412,-9.537792
8.443010,0.133631,-1.140130,-9.523726
8.474522,0.071529,-1.095536,-9.592711
8.508107,0.218479,-1.089550,-9.644787
8.542731,0.315597,-1.046453,-9.959486
8.574503,0.154880,-0.841742,-10.010066
8.608147,0.217282,-0.918209,-9.849948
8.641217,0.365428,-1.067253,-9.786349
8.677656,0.370217,-1.032836,-9.777969
8.708392,0.509385,-1.175445,-9.649127
8.741729,0.617277,-1.371178,-9.690877
8.774766,0.592287,-1.255355,-9.666186
8.808476,0.583458,-1.071294,-9.700155
8.841560,0.559515,-1.183975,-9.655262
8.875745,0.292851,-1.001111,-9.763304
8.909470,0.141113,-1.134443,-9.633863
8.942130,-1.679293,0.423639,-9.638053
8.975788,0.370217,-1.848839,-9.451299
9.008106,0.582560,-1.026850,-9.838724
9.041851,0.383236,-1.052140,-9.820767
9.075370,0.631493,-1.349031,-9.650773
9.107809,0.686711,-1.262687,-9.777072
9.140753,0.797597,-1.242036,-9.948113
9.174588,0.616978,-1.464556,-9.622191
9.208552,0.566249,-1.556885,-9.476289
9.241576,0.418851,-1.494484,-9.420023
9.275113,0.499209,-1.401257,-9.669927
9.308681,0.266364,-1.511244,-9.432444
9.341549,0.355402,-1.621381,-9.726043
9.374291,0.257685,-1.600431,-9.544826
9.408557,0.191693,-1.638441,-9.684892
9.444119,0.251400,-1.413228,-9.878230
9.474903,0.077964,-1.300846,-9.483472
9.507650,0.324276,-1.540275,-9.744150
9.541235,0.452820,-1.019667,-9.945719
9.574739,0.436658,-1.154346,-9.606030
9.608210,0.531532,-1.160331,-9.740559
9.641749,0.789067,-1.016525,-9.993006
9.674921,0.861195,-1.217196,-10.012011
9.708354,0.622664,-1.364444,-9.697312
9.741668,0.700179,-1.376416,-9.682348
9.774765,0.651396,-0.959810,-9.693571
9.808433,0.577771,-1.052439,-9.614859
9.841261,0.535273,-1.126213,-9.274870
9.875669,0.938112,-1.158685,-9.697462
9.908406,0.861494,-0.898606,-9.271278
9.941634,1.050643,-1.040318,-9.693870
9.976332,1.142524,-0.777844,-9.484520
10.008215,1.259096,-0.535722,-9.884964
10.042110,1.147312,-0.902497,-9.793532
10.075242,0.970435,-0.721429,-10.041341
10.108259,0.912523,-0.585403,-9.967866
10.142069,0.745671,-0.621617,-9.915940
10.174772,0.662769,-0.446086,-10.201459
10.208827,0.552332,-0.265317,-10.170483
10.242256,0.499957,-0.406430,-9.620096
10.275391,0.950233,-1.058574,-9.609771
10.307124,0.789815,-0.525546,-9.753578
10.340794,0.732502,-0.297041,-9.848900
10.373798,0.760635,-0.827077,-9.499035
10.406970,0.839198,-0.825281,-9.751632
10.440381,0.984800,-0.562209,-9.818672
10.473779,0.992432,-1.093740,-9.724397
10.520748,2.124631,-1.241438,-9.576700
10.540406,1.015776,-0.551883,-9.503973
10.573849,1.558831,-0.649001,-9.718262
10.607257,1.427893,-0.733250,-9.501130
10.640737,1.108256,-0.700628,-9.407005
10.673628,1.198790,-0.817799,-9.645984
10.707017,1.151652,-0.468981,-9.677110
10.740451,1.065458,-0.423041,-9.930905
10.774038,1.041814,-0.835606,-9.778867
10.807151,0.855658,-0.280581,-10.024581
10.840283,0.904592,-0.450276,-10.149533
10.873753,0.638078,-0.687609,-9.418527
10.907020,0.813908,-0.521506,-10.123495
10.940437,0.828274,-0.657830,-9.824209
10.974409,0.539164,-0.964598,-9.811190
11.006985,0.794155,-0.989140,-9.587474
11.040308,0.934071,-0.663816,-9.717663
11.074157,1.340202,-0.362735,-10.027275
11.107043,0.990786,-0.543204,-9.638353
11.140369,1.183077,-0.619522,-9.689530
11.173688,1.010389,-0.599470,-9.620994
11.206988,1.041216,-0.875561,-9.462672
11.240285,1.201932,-0.783082,-9.647181
11.273611,1.499871,-0.847877,-10.103592
11.306914,1.476228,-0.931078,-9.618151
11.340224,1.569006,-1.157039,-9.606479
11.373597,1.504959,-0.975073,-9.829147
11.406907,1.361601,-1.431036,-9.598398
11.440389,1.655051,-1.076831,-9.812687
11.473600,1.493437,-1.329578,-9.945869
11.507005,1.337509,-1.476228,-10.079799
11.540290,1.410385,-1.084014,-9.761658
11.573569,1.096135,-1.045705,-9.335775
11.606989,1.400059,-0.642866,-9.397278
11.645506,1.303839,-0.398050,-9.963976
11.673600,1.304138,-0.166403,-9.797722
11.706913,0.710056,-1.358608,-9.450700
11.740231,0.797298,-1.416819,-9.884366
11.773611,0.941254,-1.229766,-10.152825
11.806945,0.695840,-0.677134,-9.602887
11.840322,1.812475,-1.010389,-9.900976
11.873559,0.721878,-0.901449,-9.490655
11.906982,0.724272,-1.037624,-9.308240
11.940440,0.836354,-1.326585,-9.802960
11.973712,0.794005,-1.357262,-9.648528
12.006978,0.856257,-1.354269,-9.709433
12.040391,0.981658,-1.110201,-9.896936
12.073696,0.767070,-1.415173,-9.568170
