time_tick,acc_X_value,acc_Y_value,acc_Z_value
4.814336,0.247659,-2.169075,-9.784554
4.847616,0.323528,-2.080785,-9.569517
4.880960,0.389820,-2.077044,-9.362261
4.914251,0.306169,-1.949249,-9.540336
4.947589,0.176878,-1.987109,-9.446510
4.980982,0.161614,-2.129419,-9.191369
5.014281,0.386677,-2.203941,-9.386354
5.047688,0.339390,-2.261105,-9.477337
5.080933,0.150391,-2.346252,-9.398625
5.114285,0.152187,-2.395484,-9.072104
5.148730,0.156227,-2.425563,-9.180744
5.181038,0.228954,-2.441874,-9.549614
5.215283,0.221023,-2.530911,-9.389496
5.247545,0.147698,-2.192269,-9.244492
5.280858,0.170144,-2.304202,-9.447558
5.314223,0.174334,-2.518940,-9.582985
5.347537,0.143508,-2.597053,-9.632217
5.380886,0.093527,-2.466116,-9.314825
5.415058,0.262773,-2.291034,-9.924470
5.447637,0.149793,-2.440078,-9.599595
5.481976,0.142909,-2.540189,-9.881223
5.514968,0.120612,-2.507866,-9.833337
5.547748,0.203814,-2.537944,-9.595854
5.580962,0.193189,-2.392491,-9.756720
5.614248,0.218030,-2.761062,-9.962479
5.647617,0.233892,-2.379921,-9.613362
5.680947,0.215486,-2.493650,-9.712127
5.714285,0.182415,-2.415686,-9.458033
5.747647,0.215187,-2.426909,-9.649576
5.780944,0.177327,-2.474047,-9.306744
5.814299,0.300034,-2.275022,-9.755373
5.847587,0.284022,-2.182393,-9.799219
5.880879,0.258134,-2.201547,-9.572210
5.914190,0.196631,-2.280858,-9.483472
5.948467,0.279982,-1.907648,-9.464617
5.981155,0.250353,-2.134806,-9.670526
6.015468,0.224315,-2.075548,-9.372437
6.048290,0.260977,-2.242100,-9.578795
6.080948,0.234790,-2.221150,-9.611118
6.114345,0.085895,-2.342960,-9.160842
6.152903,0.200671,-2.403715,-9.152312
6.181501,0.270854,-2.532857,-9.140640
6.215159,0.227457,-2.502629,-9.456686
6.248738,0.181218,-2.065821,-9.224739
6.281255,0.112083,-2.317221,-9.039930
6.314573,0.280431,-2.389349,-9.337121
6.347751,0.292103,-2.256017,-9.316770
6.381275,0.165056,-2.404463,-9.536296
6.414584,0.179422,-2.386805,-9.730233
6.448390,0.151289,-2.563234,-9.577747
6.482971,0.163709,-2.443669,-9.312430
6.514536,0.107593,-2.471802,-9.575054
6.548582,0.154282,-2.371541,-9.676212
6.581317,0.247509,-2.301509,-9.812088
6.616411,0.222519,-2.511458,-10.026227
6.649921,0.173436,-2.399076,-9.931204
6.683719,0.113579,-2.420175,-9.673968
6.715756,0.207854,-2.505322,-9.898881
6.749257,0.404635,-2.257962,-9.932401
6.783415,0.275642,-2.254820,-9.596752
6.815440,0.209650,-2.376779,-9.476439
6.848545,0.271901,-2.363161,-9.320810
6.882084,0.339689,-2.253473,-9.266191
6.915171,0.304523,-2.212770,-9.500382
6.948134,0.305721,-2.281307,-9.441722
6.981702,0.392813,-1.947753,-9.294174
7.015298,0.310210,-1.950297,-9.415235
7.049247,0.205160,-2.199003,-9.168474
7.083110,0.281927,-2.192269,-9.389945
7.114296,0.213092,-2.515947,-9.520883
7.148503,0.233293,-2.238808,-9.672022
7.181588,0.234341,-2.234319,-9.716017
7.215258,0.158173,-2.263948,-9.763454
7.248561,0.343281,-2.077343,-9.993156
7.281029,0.259032,-2.413890,-9.714820
7.314329,0.062850,-2.513702,-9.399073
7.347657,0.160118,-2.467762,-9.832739
7.380975,0.027983,-2.581939,-9.682048
7.414277,0.082453,-2.408354,-9.659602
7.447625,0.039206,-2.209328,-9.825855
7.480974,-0.028432,-2.445166,-9.652868
7.514623,0.123455,-2.735024,-9.554702
7.547877,0.082154,-2.622044,-9.725145
7.580942,0.379046,-2.258561,-9.597949
7.614281,0.335051,-2.473748,-9.381416
7.647638,0.616679,-2.601094,-9.388898
7.681131,0.321283,-2.477339,-9.725594
7.714287,0.058510,-2.434541,-9.364356
7.747685,0.348518,-2.292380,-9.645685
7.781031,0.182714,-2.091559,-9.628177
7.814282,-0.093976,-2.165483,-9.365553
7.847702,-0.106097,-2.081683,-9.414038
7.880990,0.248856,-2.573410,-9.462223
7.914299,0.186156,-2.380071,-9.664241
7.947688,0.184510,-1.932040,-9.818074
7.981026,0.194386,-2.269934,-9.557396
8.014295,0.374257,-2.128372,-9.843513
8.047657,0.327119,-2.228333,-9.867007
8.081073,0.259481,-2.209777,-9.627429
8.114351,0.254094,-2.259010,-9.681599
8.147764,0.340587,-2.549467,-9.669478
8.180964,0.341485,-2.310637,-9.544526
8.214446,0.223567,-2.344306,-9.541534
8.247701,0.147698,-2.470755,-9.578196
8.280950,0.340138,-2.340266,-9.905316
8.314369,0.219676,-2.601692,-9.524175
8.350726,0.236735,-2.256466,-9.417779
8.380973,0.171790,-2.360617,-9.402216
8.414295,0.010924,-2.517144,-9.309587
8.447826,0.023793,-2.422270,-9.504871
8.481049,-0.024841,-2.271879,-9.858777
8.514308,0.258433,-2.317820,-9.646433
8.547733,0.187952,-2.438432,-9.694169
8.580967,0.134978,-2.517144,-9.095897
8.614558,0.021998,-2.290585,-9.541683
8.647674,0.142161,-2.336824,-9.871646
8.681002,0.070332,-2.402218,-10.018446
8.714409,0.098315,-2.545277,-9.646134
8.747817,0.119415,-2.199452,-9.499035
8.781147,0.046389,-2.245991,-9.666485
8.814374,0.208453,-2.362862,-9.433192
8.847681,0.214588,-2.409102,-9.467909
8.881038,0.293899,-2.153512,-9.681599
8.914375,0.233144,-2.444118,-9.528964
8.947721,0.276391,-2.143186,-9.693421
8.981006,0.206657,-2.293129,-9.581788
9.014501,0.237783,-2.332784,-9.525372
9.047722,0.289110,-2.327097,-9.538690
9.081327,0.209051,-2.194514,-9.582087
9.114302,0.285668,-2.192419,-9.538690
9.147679,0.269058,-2.328594,-9.135253
9.181434,0.046988,-2.298665,-9.148422
9.214296,0.379644,-1.884903,-9.442769
9.247782,0.312903,-2.011201,-9.568320
9.281043,0.352110,-2.041728,-9.496641
9.314358,0.311257,-2.132711,-9.555450
9.347649,0.124204,-2.673671,-9.190022
9.381034,0.185557,-2.400722,-9.614260
9.420899,0.228505,-2.235217,-9.918335
9.447622,0.092479,-2.352537,-9.461026
9.480929,0.066741,-2.393539,-9.638053
9.514313,0.141712,-2.423916,-10.170333
9.547679,0.203963,-2.079738,-9.714670
9.580919,0.218628,-1.661785,-9.417031
9.614304,0.128094,-2.058339,-9.642393
9.647820,0.127945,-1.913634,-9.544826
9.681013,0.317692,-2.037239,-9.598099
9.714363,0.285968,-2.281307,-9.807150
9.747693,0.060755,-2.680853,-9.084823
9.781119,0.002394,-2.501282,-9.493648
9.814486,0.182564,-2.926866,-9.682647
9.847654,0.377998,-2.823463,-9.319164
9.881009,0.426482,-2.324254,-9.406107
9.914340,0.212643,-2.349394,-9.499933
9.947802,0.316495,-2.278613,-9.322456
9.980979,0.160567,-2.318568,-9.136151
10.014681,0.077515,-2.174162,-9.410746
10.047761,0.237334,-1.974389,-9.330836
10.081094,0.234191,-2.141540,-9.538840
10.114495,0.189747,-2.271730,-9.563232
10.147746,0.121211,-2.074351,-9.786798
