time_tick,lac_X_value,lac_Y_value,lac_Z_value
4.901283,1.445959,-0.738729,-0.316797
4.921297,4.444707,-2.092311,-1.434007
4.951305,1.921333,-3.964726,-2.189166
4.991343,0.620927,-4.929681,-2.030817
5.041364,0.178811,-3.895667,-2.869541
5.071393,-0.910292,-2.560169,-1.439260
5.101423,-1.145816,-1.178810,-0.890346
5.131451,-0.419352,-2.164726,-0.856733
5.161450,1.142124,-2.059891,-0.276081
5.191487,0.232879,-1.331330,0.294184
5.221508,1.082856,2.854092,-0.796999
5.261553,0.613432,1.619423,-0.741985
5.291548,0.710913,3.673800,0.863157
5.331607,1.092519,3.345342,1.639707
5.361624,2.541558,3.365643,2.847999
5.391652,2.391069,2.712625,1.714796
5.421674,2.680863,2.461736,1.951475
5.451695,0.540508,3.298513,6.136984
5.491725,0.169590,1.672732,2.590702
5.521746,-0.191605,1.126566,0.609723
5.551770,0.432937,0.788621,-0.374736
5.581792,1.253389,0.575677,-0.948981
5.621809,1.410816,2.041177,-1.816955
5.671859,1.747434,1.480449,-1.175280
5.701883,1.640320,-0.140245,1.145294
5.731905,1.760318,-0.306210,-0.817849
5.761927,0.364475,0.354766,-2.931460
5.791934,-1.127222,0.336183,-2.117472
5.821972,-0.598593,-0.181136,2.007592
5.851995,1.063196,-0.021590,1.175762
5.892025,-0.368670,0.640331,-0.080516
5.932056,-0.131471,-0.098976,2.384447
5.962079,0.316080,0.129593,1.362305
5.992074,0.662352,0.677843,-0.300693
6.022124,0.446863,0.431672,-1.790905
6.052137,0.287627,0.947849,-0.278041
6.092175,0.498127,0.179691,0.617928
6.122174,1.783034,0.263025,1.144186
6.152203,2.840727,0.960426,0.823788
6.182232,3.108293,1.333328,1.468360
6.232269,-1.092261,2.170272,0.081882
6.262283,-0.132539,-0.704012,2.464933
6.292313,-0.117838,-1.949627,-0.328926
6.322336,-0.472997,-1.146446,-1.241192
6.362377,0.234596,0.662235,0.231624
6.392399,-0.192100,1.581757,0.133317
6.422422,-0.041223,1.275016,0.353510
6.462453,1.356685,1.334367,-0.539400
6.492461,1.065868,1.112847,0.778310
6.522469,-1.165262,2.631678,1.603752
6.572535,-0.831162,-0.757636,0.424024
6.592551,2.039300,-2.443981,-1.770400
6.622573,3.271815,-4.223720,-3.388267
6.652597,0.251980,-1.070230,-2.696020
6.692625,-3.289546,1.486923,0.262373
6.722648,-1.029213,1.811570,0.797415
6.762678,0.943467,0.173414,-1.150274
6.782693,0.514968,0.278955,-0.060495
6.832705,0.995117,-1.375438,1.093431
6.862755,0.419856,-1.674406,0.175146
6.892776,0.425811,-0.875473,-0.780566
6.922799,-0.171291,-0.428316,-1.429296
6.952821,-1.489025,0.242998,-0.763311
6.992850,-0.881613,1.231418,1.026465
